Original_Comment,Predicted_Sentiment
sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry hardik sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry sorry,neutral
happy retirement to rohit virat and jadeja and sorry hardiksuryaand dubey bhai,positive
pakistan be like mere papa ne world cup jeet liya,neutral
bus rohit virat bhai wtc jeet kar kuch logo ko unki aukaat dikha dee,neutral
vai maine kavi bi hardik troll kari hi nahi,neutral
happy retirement to rohirat the end of a golden era,positive
love ya vids,positive
sorry hardik and surya bhaii,neutral
end of an erabut love uh,neutral
rohit sharma virat kohli ravindra jadeja truly an end of a great era,neutral
congratulation india love for bangladesh,positive
fixed match hein koi bhi jeth lega,neutral
sorry hardik amp suraya,negative
sorry hardik sorry surya from nitanta raj,neutral
the squad is out of tour of zimbabwe when r u going make video on that pahul bhai,neutral
hardik is the best man,positive
table toppers wale bench par aur last to finish walo ne cup jita diya,neutral
to abhi bhi hai but reason nhi hai reason se bhi bada hai hitman and king koli,neutral
we will miss you hitmankingthalapaty,positive
congratulations india from bikaristan btw roko retires,positive
babar and shaeen in the last,neutral
bhai jaddu just retired,neutral
rohit virat and jadega also retire,neutral
virat and hardik clutch god bro never underestimate them,positive
sorry hardik bhai really sorry sorry surya bhai sorry dube bhai,negative
only sorry hardik maine surya ko troll nahi kiya,negative
harpik pandya hacker pandya,neutral
per bhai m q likhu sorry hardik bcz mai to hmesa se usko support krta tha,neutral
sorry hardhik bhai,negative
bumrah was actually the difference between the two team bumrah the king,positive
video ending was amazing babarshaheen be like mujhe ku thora,positive
happy retirement rokojaddu best ever campaign,positive
sorry pandya sorry surya,negative
pehle se meye ipl se hardik dil se support indian team se hardik support karaha tha,neutral
sorry hardik pandya aka kung fu panda,negative
hardik surya virat,neutral
congratulations to india team but i am pakistani,positive
sorry hardik surya sorry,negative
ab jadeja ne bhi retirement announce kr di,neutral
this is all about mi mindset,neutral
sorry hardik team india has one,neutral
sorry hardik and suryakumar yadav,negative
sir ravindra jadeja also announced retirement,neutral
award kab aayi gyi ipl and wc,neutral
god s plan nehi icc plan,neutral
respect button for axarkohli and hardik for semis and final performance,neutral
bhai k goti mujh may aagai,neutral
jaddu ne retirement leli,neutral
chokliselfishtuk tuk,neutral
so sorry hardik and same for surya,negative
hardik always respect him my idol,positive
bhaiya ab tho change karo youtube home page,neutral
jaddu also,neutral
jaddu sir retired also,neutral
never disrespected hardik so no need to apologise,neutral
bhai agar tumhe india and south africa ke choke krne se itna problem hai toh khud jaa ke khel le aur jita de bina choke kiye,neutral
jaddu bhai also announced retirement,neutral
sorry hardik and suraya bou,negative
no one talk about jaddus retirement we will miss the best allrounder,negative
sorry harthik bhai,negative
jadeja retired we lost three diamonds the era gone,negative
but this cost sir jadeja rohit sharma and virat kohli retirement,neutral
apke prediction ne hi virat ko out krwaya tha,neutral
vaise kya vice captain ko drop kar sakte hai kya sab yaad hai beta vo team ke liye trophy le ayya aur thu de ka da hi reh gaya,neutral
bhai tu bhi tha troll karne wala,neutral
jay sha script achha loga,neutral
hardik ko kabhi hate na karne ka ghamand hai,neutral
sorry hardik bhai aur surya bhai,neutral
roko thanks for your contribution to team india,positive
kon kon chahta hai ki ipl award video aani chahiye,neutral
imagine surya kumar bhai aakar kahe pahul ab dede password like krdo bhailog,neutral
sorry hardik and surya also,neutral
sorry hardik surya nd dube,neutral
sorry surya sorry h p,negative
papa world cup jeet gaye the end,negative
hardik bhai sorry surya bhai sorry maaf krdo,neutral
surya hardik bumraah arshdeep man of the match,neutral
hardik bhaiya tussi great ho tohfo kubul karo,positive
indias population changes in seconds,neutral
champion pandy,positive
last one is sukoon,neutral
i am mi fan but i never hate hardik before and now,neutral
very happy for roko all team india madly deserve this wc want open bus ceromony for team india after reaching mumbai airport like msdhoni legend,positive
i will not say sorry to hardik becoz i never trolled him always supported him hp,neutral
roko coming for test mace and champions trophy,neutral
rohit kohli and jadeja retired,neutral
hats off to rohits captaincy he gave many overs to spinners so that the batsman are set to bspinnersb only then he gave death overs to bpacersb which was a sudden change for the set batsman and they got out quotwhat a captaincy quot,positive
ravindra jadeja retired,neutral
jadu reater,neutral
papa world cup jeetgaye was crazy,positive
jadeja ne bhi retire krlia,neutral
ravindra jadeja also retired right now,neutral
bye bye ro ko,neutral
f off for ipl sorry for india,negative
yeh script mota bhai ne nahi upar waale ne likhi hia,neutral
bhai banda pichle vid mai kehrha tha ki virat ki koi crazy innings nhi aygi jhut bolrha hai btw u make op vid,neutral
happy retirement to jaddu also,positive
love you hardik bhai what a comeback by a champion player,positive
sorry hardik sorry surya sorry shiwam sorry pahul bhaiya,neutral
abbhi believe nahi hora,neutral
why would i spamm sorry i have never watched ipl,negative
last wala sabse jyada funny tha babar azam,neutral
sorry hardik bhai sorry surya bhai but no sorry pant bhai,neutral
hum jit giya,neutral
i am virat fan i am so happy bro but virat and rohit retirement so sad for india ok and hardik bhai i am always saport you,positive
sorry hardiksorry surya,neutral
yar why do you bow do to humans dumb ass people,negative
ravindra jadeja bhi retire hogaya bhai,neutral
surya bhau op,neutral
bhaiya yeh last ki video me ke first pic me afridi kya kr rha h,neutral
ro ko and jaddu happy retirement,positive
happy retirement king kohli and rohitman sharma bhai mere ek question hai ki next king or hitman kab dekh ga,positive
jaddu bhi retire hogaya,neutral
jaddu also retires,neutral
ritika bhabhi side hat jao why is it trending,neutral
hardik pandya respect bottom,neutral
ipl avords,neutral
bhai ek mast chizzz jab adidassss no coler jerseyyy hn na tabh hii jeet gaye coincidene india argentina,neutral
are pahul bhai jaddu bhai ne bhi retirement le lia,neutral
only mi fan hardik hater,negative
how is no one talking about jadeja retierment,neutral
bro i was in the mall and in last over almost everyone was watching the match when we won every lone started screaming jai hind,neutral
jadeja ne bhi retirement le lia,neutral
best allrounder hardik pandya,positive
fuck,negative
bus ipl rah gaya fir ipl mein virat kohli ke pass trophy hogi,neutral
both teams choked yesterday but the bigger choker lost,negative
so many thala for a reason,neutral
soory surya,neutral
bewcuf,neutral
sorry hardik bhai even though i didnt troll him,negative
special thanks to mba chaiwala,positive
jaldi banana please please,neutral
rip pahul likne hi aa raha tha dekha to video aa gyi,neutral
sorry for all players,negative
ro ko happy retirement miss you,positive
my parrot dead,negative
thala also retired official news end of an era,neutral
jadeja ne bhi retirement le liya yr,neutral
bhai rohit aur kohli odi aur tast to kalege naa,neutral
laal phool neela phool surya bhai beautiful,positive
sorry hardiksorry skysorry dube,negative
bas bhai agar kohli agle saal ka ipl jit jaye to dhoni jitne trophy ho jayege,neutral
jaddu bhi retired,neutral
sorry hardickkkkkkkkkkkkkkkkkkkk,neutral
d sorry hardik sorry surya,negative
sorry hp and sky,neutral
hardik pandyaclutchgod,neutral
sir ravindra jadeja also retirement love you sir jadeja,positive
jadeja also retired bro,neutral
as a mumbai fan really sorry hardik bhaii,negative
papa jeet gaye in the end was personal,neutral
bhai richard kettleborrow,neutral
also happy retirement for jaddu bhai,positive
ending was super,positive
soory hadark pandeya,neutral
hardik pandey is best,positive
dubeji sorry for memes,negative
no roko in next world cup,neutral
mai hii tha jisne kabhi hardik ko hate nhi kiya usi ka ghamand hai,neutral
w w w w w w,neutral
hardik pandya kee baat karte hainbhai tu hee hain voh banda jisne bola tha rohit maara dhoni maara hardik haara csk vs mi ipl match mein a yaad hain naa,neutral
sorry hardik and sorry suyra,negative
jadejabhi ab to,neutral
sorry hardik mene surya ko hate nahi kiya but i disappoint by surya so sorry sky bhaiya,negative
last meme,neutral
king hitman then jadu retired,neutral
when india win wc cup i am so happy then roko retirement i am sad,positive
virat need wtc and ipl trophies,neutral
thu tho pizza enjoy kar raha tha kyu etna over action kar raha hai views ke liya,neutral
sukkuun,neutral
bhai chadi muje chahiye,neutral
pahul bhai apki video ab test matches ke bad hi dekhunga good bye pahul bhai see you soon,neutral
bhai rohit ke second high run he turnament me,neutral
sorry hardik sorry surya sir,neutral
this game was like me the best choker choke,positive
sorry hrdik,negative
sorry hardik pandya dube also,neutral
sorry kardik,negative
pahul bhai aap ki channel teez grow krrahe hai,neutral
sorry hardik bhi,neutral
sorry hardik great pandey,neutral
asli game changer mbbs chaiwala hai,neutral
jadega also took retirement,neutral
jaadu bhai also retired,neutral
rohit aur virat ke retirement pe alag se video,neutral
im an mi fan and hardik pandya is the goat,positive
mba chai wala ko vi thank you bolo,positive
bhai jadeja ne bhi retirement leliya,neutral
bhai believe nai karega miller ka catch kiya usi bol pe bola k out hoga aur gaya,neutral
why is noone talking about jadeja s retirement,negative
sorry hardik bhai maine jyada nahi kiya phir bhi sorry,negative
happy retirement roko sorry hardik,positive
happy retirement virat kohli rohit sharma and ravindra jadeja,positive
aab ya video pahul walia chennal ki home page par top pa honi chaiya ha or odi world cup final wali hatni chaiya ha,neutral
why everyone is talking about roko retirement no one is talking about sir ravindra jadeja feeling bad for him,negative
sorry hardik but me troll nhi kiya tha me ye bola tha bas rohit se captaincy nhi leni thi but im sorry,negative
sorry suryakumer yadav,negative
jitana khushi india ke jitane par hai usse thoda dukh bhi hai south africa liye bhi hai,neutral
sorry hardik and also sorry surya,neutral
virat rohitms dhoni,neutral
anuska ka meme mujhe samajh nehi aya koi samjhao yaar,neutral
bro jadeja ne bhi retirement ke lo abhi,neutral
congratulations rohit sharma rohitman sharma virat kohli king for his kingdom rishab pant spiderman suryakumar yadav sky high hardik pandya kungfupandya shivam dube six hitter ravindra jadeja jaddu axar patel bapu for a reason yashasvi jaiswal opener sanju samson champion kuldeep yadav spinning wizard yuzvendra chahal chanchal jasprit bumrah badshah boom mohammad siraj miyan bhai arshdeep singh singh is king,positive
really suryas catch,neutral
jaduu ne retirement leliya,neutral
itna late koun video banata hai bhayya,neutral
roko ko roko please,neutral
sir jadeja bhi retire le liye kuchh to bol do,neutral
sorry hardik sirrerrrrrr well done,positive
i didnt even know that khaleel was in the team for the world cup,neutral
koi bkl hi hoga jo ipl award video ka wait kar raha hoga,neutral
itni der se kyon nahin dali video sala,neutral
aj hardik ka sara pap dhul gya,neutral
sorry hardik brooooo,negative
sorry surya and hardik bhai mi,neutral
